X_int,X_bin,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20
774970,10111101001100111010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000500,11110100010000110100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33474,    1000001011000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374200, 1011011010110111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694840,10101001101000111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295180, 1001000000100001100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241570,  111010111110100010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745670,10110110000011000110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654910,10011111111000111110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619300,10010111001100100100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692520,10101001000100101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49865,    1100001011001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365730, 1011001010010100010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473260, 1110011100010101100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252610,  111101101011000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749780,10110111000011010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897770,11011011001011101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295180, 1001000000100001100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766560,10111011001001100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144460,  100011010001001100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877370,11010110001100111010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145340,  100011011110111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616780,10010110100101001100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383940, 1011101101111000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845950,11001110100001111110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528250,10000000111101111010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513380, 1111101010101100100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919650,11100000100001100010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370300, 1011010011001111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471280, 1110011000011110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010300,11110110101001111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44353,    1010110101000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020200,11111001000100101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198400,  110000011100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699530,10101010110010001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614930,10010110001000010010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707910,10101100110101000110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378560, 1011100011011000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650410,10011110110010101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850550,11001111101001110110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20193,     100111011100001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87948,   10101011110001100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022200,11111001100011111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682990,10100110101111101110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242470,  111011001100100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423090, 1100111010010110010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127950,   11111001111001110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281480, 1000100101110001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270370, 1000010000000100010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347780, 1010100111010000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159630,  100110111110001110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364910, 1011001000101101110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127570,   11111001001010010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927100,11100010010101111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98858,   11000001000101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975220,11101110000101110100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418400, 1100110001001100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49704,    1100001000101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359000, 1010111101001011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771720,10111100011010001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833280,11001011011100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571380,10001011011111110100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719560,10101111101011001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937040,11100100110001010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57454,    1110000001101110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318410, 1001101101111001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48436,    1011110100110100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204970,  110010000010101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755150,10111000010111001110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756810,10111000110001001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920440,11100000101101111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610720,10010101000110100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74118,   10010000110000110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967570,11101100001110010010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839250,11001100111001010010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299840, 1001001001101000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570070,10001011001011010110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032600,11111100000110011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750440,10110111001101101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
879720,11010110110001101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454310, 1101110111010100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493490, 1111000011110110010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587950,10001111100010101110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282160, 1000100111000110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785400,10111111101111111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528360,10000000111111101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678230,10100101100101010110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322700, 1001110110010001100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145460,  100011100000110100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498670, 1111001101111101110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380070, 1011100110010100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826400,11001001110000100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818200,11000111110000011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700990,10101011001000111110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139990,  100010001011010110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22603,     101100001001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587040,10001111010100100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315430, 1001101000000100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985040,11110000011111010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028600,11111011000111111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300540, 1001001010111111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839720,11001101000000101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939640,11100101011001111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626550,10011000111101110110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926960,11100010010011110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
989570,11110001100110000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575830,10001100100101010110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763770,10111010011101111010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604780,10010011101001101100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27114,     110100111101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468220, 1110010010011111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677700,10100101011101000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546520,10000101011011011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390400, 1011111010100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982660,11101111111010000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869830,11010100010111000110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890330,11011001010111011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390630, 1011111010111100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622000,10010111110110110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914940,11011111010111111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978850,11101110111110100010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700940,10101011001000001100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216820,  110100111011110100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685610,10100111011000101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75552,   10010011100100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426480, 1101000000111110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699330,10101010101111000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
979080,11101111000010001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850340,11001111100110100100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508090, 1111100000010111010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793510,11000001101110100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437310, 1101010110000111110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019000,11111000110001111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036000,11111100111011100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906120,11011101001110001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407770, 1100011100011011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476830, 1110100011010011110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258670,  111111001001101110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822530,11001000110100000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925720,11100010000000011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958100,11101001111010010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585400,10001110111010111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627960,10011001010011111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156110,  100110000111001110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943420,11100110010100111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472270, 1110011010011001110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215660,  110100101001101100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943350,11100110010011110110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799630,11000011001110001110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925350,11100001111010100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298790, 1001000111100100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705930,10101100010110001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696550,10101010000011100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128780,   11111011100001100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427100, 1101000010001011100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288660, 1000110011110010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751480,10110111011101111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297150, 1001000100010111110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939730,11100101011011010010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866730,11010011100110101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408970, 1100011110110001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522090, 1111111011101101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728560,10110001110111110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874900,11010101100110010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639240,10011100000100001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602660,10010011001000100100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341880, 1010011011101111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478600, 1110100110110001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748470,10110110101110110110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927370,11100010011010001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755870,10111000100010011110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19517,     100110000111101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707550,10101100101111011110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459810, 1110000010000100010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459090, 1110000000101010010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122720,   11101111101100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854260,11010000100011110100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340640, 1010011001010100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258190,  111111000010001110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359360, 1010111101111000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393940, 1100000001011010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573100,10001011111010101100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589220,10001111110110100100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415050, 1100101010101001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417470, 1100101111010111110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540400,10000011111011110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689470,10101000010100111110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997110,11110011011011110110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757440,10111000111011000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419510, 1100110011010110110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872280,11010100111101011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140860,  100010011000111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63404,    1111011110101100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88340,   10101100100010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171860,  101001111101010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339970, 1010011000000000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316380, 1001101001111011100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12249,      10111111011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566130,10001010001101110010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010,   11000011010101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153630,  100101100000011110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661800,10100001100100101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901060,11011011111111000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021500,11111001011000111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598570,10010010001000101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045300,11111111001100110100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580430,10001101101101001110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540500,10000011111101010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346740, 1010100101001110100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450890, 1101110000101001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515700, 1111101111001110100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74488,   10010001011111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930860,11100011010000101100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67774,   10000100010111110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457370, 1101111101010011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866780,11010011100111011100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413700, 1100101000000000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643280,10011101000011010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858410,11010001100100101010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929280,11100010111000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
976340,11101110010111010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200050,  110000110101110010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271140, 1000010001100100100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941480,11100101110110101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622180,10010111111001100100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528320,10000000111111000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642580,10011100111000010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859230,11010001110001011110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557730,10001000001010100010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211890,  110011101110110010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475940, 1110100001100100100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448700, 1101101100010111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013000,11110111010100001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650180,10011110101111000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729170,10110010000001010010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755150,10111000010111001110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363750, 1011000110011100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542100,10000100010110010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583740,10001110100000111100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164100,  101000000100000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589360,10001111111000110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728550,10110001110111100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447170, 1101101001011000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876890,11010110000101011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766920,10111011001111001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377520, 1011100001010110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476280, 1110100010001111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405160, 1100010111010101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813230,11000110100010101110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769940,10111011111110010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451180, 1101110001001101100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727450,10110001100110011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
